image_name,scale,center_w,center_h,original_0_x,original_0_y,original_1_x,original_1_y,original_2_x,original_2_y,original_3_x,original_3_y,original_4_x,original_4_y,original_5_x,original_5_y,original_6_x,original_6_y
afw/397921011_2.jpg,1.595,506.5,662.5,552.8396588333333,524.5783021666667,566.3103161666666,408.473354,619.271123,442.823211,678.454352,553.3712400000001,689.618922,476.29478,730.022596,443.157954,735.352401,491.828453
afw/2863107962_1.jpg,0.65,441.0,221.0,186.763598,479.0018186666666,182.459706,428.13341833333334,207.399443,455.943043,234.397259,473.817452,233.503885,446.743773,242.232021,417.719506,251.359683,441.91311500000006
helen/trainset/1271089376_2.jpg,2.105,642.5,643.5,507.38195283333334,691.2327388333333,518.266602,537.1286533333332,580.507739,602.347486,679.533772,714.299873,682.852634,620.047444,736.933215,567.8412,741.946362,632.379129
afw/3576294411_1.jpg,1.17,906.0,399.0,321.4881598333333,974.1306878333335,326.48418883333335,892.9031963333335,342.378442,951.874096,413.025242,977.332317,401.433118,957.198633,466.226271,921.126514,466.222108,956.409787
helen/trainset/2864812753_2.jpg,3.33,843.0,1035.0,837.947455,979.2551853333333,865.8598088333333,695.4179028333334,904.109005,828.792848,1103.321456,983.389242,1101.104821,858.587666,1171.0410359999998,760.358477,1164.097198,869.0594550000001
afw/270814102_1.jpg,1.055,1058.5,823.5,748.4211423333333,1052.3770368333332,751.495284,978.9123241666666,774.6430280000001,984.652112,838.360129,1046.8522369999998,830.615074,992.052534,863.254666,987.079699,868.356848,1001.665936
lfpw/trainset/image_0310.png,0.945,276.5,171.0,126.17519183333333,331.5303811666667,126.87076933333333,255.79639016666667,143.794344,298.072951,198.392879,323.042433,196.832549,295.492588,217.157646,261.891701,216.191852,296.176813
helen/trainset/2262286043_1.jpg,1.375,426.5,389.0,334.4755196666666,493.6318473333334,319.8054006666667,376.0693886666666,365.126509,426.822554,449.186764,451.68249,434.263084,415.865894,465.073706,380.375769,477.810525,408.207164
lfpw/trainset/image_0690.png,0.645,134.0,184.5,146.8783415,167.78174850000002,160.98410066666668,121.90832799999998,170.48640600000002,166.261987,196.717104,184.071471,202.741127,167.234455,220.697673,139.221691,213.377323,175.431469
helen/trainset/105300174_1.jpg,2.585,497.5,599.5,441.06476150000003,624.9301675,429.8518731666666,414.6710698333334,530.030967,517.402389,678.345905,596.090255,663.05362,510.12966100000006,709.981407,435.101302,728.458167,506.065316
lfpw/trainset/image_0077.png,0.72,193.0,180.0,137.97359466666666,223.29415683333332,143.6188515,168.27839866666665,161.94361999999998,197.750514,195.075355,227.740386,194.598019,202.260551,213.249567,185.298009,212.369871,204.86669
lfpw/trainset/image_0104.png,0.715,166.0,159.5,123.417034,209.65684883333333,118.26310449999998,156.64526716666668,141.615229,189.900364,186.548751,197.034443,182.71345,181.250877,193.36503,160.88869499999998,195.836753,180.481603
helen/trainset/1429029478_1.jpg,3.135,758.5,884.0,726.5975088333334,953.5874914999999,713.2861831666665,705.8567381666667,790.057884,849.9465210000001,961.285857,932.647921,937.695966,841.606725,1033.628917,758.019739,1035.993978,842.010359
helen/trainset/120801881_1.jpg,1.515,390.5,380.5,286.34334616666666,476.11443949999995,286.768768,350.5204923333333,338.66907000000003,427.430818,411.860419,478.765103,407.902507,426.755104,438.205724,368.546246,441.88574000000006,428.017031
helen/trainset/2739463852_1.jpg,1.505,383.5,449.5,352.6158788333333,403.28545533333335,354.0787903333333,286.7931086666666,395.724977,313.109857,470.643978,418.630139,460.769878,328.84603500000003,502.8265980000001,293.991115,520.3785730000001,329.15889100000004
helen/trainset/1227072121_1.jpg,2.485,538.5,599.5,432.3863013333333,645.1789758333333,455.75156050000004,446.38578949999993,531.016487,579.055664,657.026936,678.156655,671.887029,589.3449870000001,710.266359,506.601584,706.343111,601.1948679999999
lfpw/trainset/image_0218.png,0.665,202.5,222.5,186.07597783333333,215.1913995,184.927651,162.11610850000002,207.008422,177.559213,243.999898,205.493734,243.670791,182.180522,251.333333,169.444424,250.417202,182.488627
lfpw/trainset/image_0466.png,1.45,195.5,309.0,223.07787100000004,252.679349,212.43024550000004,144.616728,256.350658,197.524826,353.388909,228.480336,341.318188,185.654002,365.699288,147.828094,377.634698,184.740612
helen/trainset/2722611373_1.jpg,4.645,912.5,1246.5,975.5194471666667,1134.6087768333334,960.6511568333334,742.4095098333333,1038.579664,938.323609,1310.243293,1121.082086,1299.87693,929.962206,1347.785112,760.9155450000001,1350.0779730000002,930.317925
helen/trainset/261646976_1.jpg,3.09,568.0,778.5,663.2774313333334,705.7114651666667,629.0066356666667,400.50768683333337,759.564772,515.615098,917.803269,628.16678,902.216012,509.937699,940.80268,390.699673,976.63261,498.464188
lfpw/trainset/image_0348.png,1.03,263.5,167.0,113.56808016666668,325.997587,108.54770283333333,243.0047525,135.665239,290.597075,195.406411,313.266695,185.485644,281.49039,209.767967,242.930519,219.37439300000003,277.175849
helen/trainset/2346521154_1.jpg,2.645,534.0,812.5,661.286551,671.8215626666668,665.135599,456.7484038333334,718.940753,572.352608,929.885926,661.9163980000001,924.168537,568.883896,945.054668,477.05669000000006,958.726937,567.664833
helen/trainset/2655076570_1.jpg,3.345,1057.5,702.5,487.72638749999993,1200.4671445,484.73905766666667,963.5247986666667,592.6108849999999,1127.67938,788.9191969999999,1237.966362,785.175873,1101.638669,824.739884,977.684584,846.709548,1103.173953
afw/4538917191_23.jpg,1.05,155.0,1878.5,1815.5956813333335,176.44724766666664,1821.1018946666666,119.93415116666667,1835.738142,152.211793,1882.023453,210.048415,1887.005607,175.441399,1911.328251,148.66409,1906.216731,182.428908
helen/trainset/2507367343_1.jpg,2.64,555.0,553.5,387.9781991666666,711.7614316666667,400.7219628333333,504.00666783333344,486.21021,674.457688,618.405178,719.814905,619.1210629999999,641.352256,660.084478,547.104968,660.545596,645.094179
afw/2147052512_1.jpg,1.875,533.0,539.5,425.441108,646.5025373333334,410.40424516666667,506.72315499999996,476.038219,597.651303,579.582679,605.7045870000001,570.9328469999999,566.0833709999999,633.3731349999999,496.09709,652.850258,551.063662
lfpw/trainset/image_0572.png,0.785,178.0,172.5,129.168633,206.11951583333334,132.73259366666667,147.4361015,151.225022,176.145723,195.229109,209.792012,195.476949,180.734972,214.599284,160.031164,214.14484500000003,183.374279
helen/trainset/2164847927_1.jpg,1.995,363.5,505.0,377.5371978333333,496.99128033333335,378.870954,339.21864450000004,439.273485,457.71266,524.7856,496.58224,519.9773299999999,432.5572360000001,589.444376,326.482856,595.278667,430.675124
afw/91328372_1.jpg,1.02,164.5,255.0,228.9859685,224.72378866666668,242.08100249999998,135.93590766666665,277.090281,186.592688,306.946206,217.365989,312.87029900000005,188.967142,336.535462,160.666061,337.18858900000004,194.509133
helen/trainset/1030333538_1.jpg,1.845,484.0,250.5,151.082304,508.7156016666666,196.059125,395.14834849999994,227.156506,466.70973,276.96488,581.404715,305.485994,497.406089,357.505482,437.216405,340.377152,532.009606
lfpw/trainset/image_0199.png,0.975,113.0,198.5,153.05037016666668,174.42321966666665,143.7093515,102.19493916666666,165.772728,148.471423,231.14891,157.109951,223.566019,135.393502,241.840719,107.40078,246.93986,134.924368
helen/trainset/291888779_1.jpg,2.29,336.0,360.0,262.8299236666667,461.2971365,245.29902583333333,267.2958018333333,294.695367,374.178659,431.551358,411.879643,413.055729,358.20164500000004,459.796113,293.25833,467.930756,353.23773
lfpw/trainset/image_0071.png,0.7,171.0,188.0,150.72817550000002,207.509552,160.30002933333333,152.54705983333332,174.304802,195.031017,200.728243,222.843473,204.608952,198.317481,228.038994,163.825022,222.840702,203.517682
helen/trainset/2840009780_1.jpg,1.42,418.5,429.0,351.9450366666667,514.7426465,342.21866216666666,392.4505726666667,404.173224,466.554084,478.025469,492.354766,474.035278,447.579981,507.484748,373.346385,520.067025,438.949441
helen/trainset/2515668654_1.jpg,2.45,460.5,439.0,287.0745601666667,519.075121,281.6374158333333,330.72727983333334,345.929524,387.745444,494.275515,500.94809,483.530262,403.429593,531.2978860000001,329.874099,543.387805,403.931263
helen/trainset/2168477255_1.jpg,2.185,578.5,497.5,376.3995361666667,699.6565756666668,366.42685716666665,479.1577956666667,435.909404,592.139184,545.08965,683.2432980000001,541.871669,583.9603,571.901047,484.317759,588.3985389999999,582.576022
helen/trainset/2898288466_1.jpg,1.895,388.5,277.5,175.0536075,413.7623425,198.56265900000002,263.5882135,213.652925,299.49497599999995,319.397764,404.88959,311.433291,313.826625,365.121487,288.111951,360.780755,324.10978
helen/trainset/206413799_1.jpg,1.805,570.5,495.5,374.44046483333324,626.0573943333333,374.6688266666667,513.1988418333334,419.206547,559.123408,525.8593030000001,616.040741,518.420782,566.628431,584.1963450000001,531.043032,597.892816,565.1115139999999
lfpw/trainset/image_0325.png,0.805,309.5,177.0,126.1984165,305.7854005000001,130.9059203333333,248.11116700000002,150.22533,259.868688,195.419477,307.356855,191.094109,266.35147,220.95105,261.812005,220.857988,274.723642
helen/trainset/2124611787_1.jpg,1.92,443.5,583.0,477.07080199999996,529.9906916666667,454.38207450000004,365.9863315,535.820696,420.737033,622.268117,514.897602,605.546426,418.072753,647.187287,338.195876,686.624815,401.912411
helen/trainset/2150058510_1.jpg,3.985,905.5,1167.0,966.6069673333333,1106.7398208333334,956.0196649999999,790.1719283333332,1051.09018,941.624691,1261.351349,1012.802487,1245.697946,912.413477,1274.459305,822.920989,1295.5733289999998,908.720867
helen/trainset/2402052185_3.jpg,1.735,528.5,519.5,436.8766406666666,546.120775,464.6927090000001,428.36334616666664,483.06204,474.667493,579.779882,552.71817,581.613867,501.282944,620.127206,480.911573,618.573888,511.756576
helen/trainset/2643349347_1.jpg,2.365,504.5,417.0,336.2828225,659.9910658333333,277.133944,478.24592299999995,384.729064,565.188617,523.244283,549.401767,490.958254,498.961624,511.644685,417.945702,552.038451,477.616659
helen/trainset/2076592686_2.jpg,5.535,919.0,1173.5,805.0868135000001,1218.5372938333333,821.3134905000001,710.3570406666666,1069.0359970000002,1015.440696,1255.866109,1242.16949,1293.867018,999.355589,1427.795433,728.8907019999999,1479.181529,1014.758002
lfpw/trainset/image_0322.png,0.695,225.0,132.5,89.14741933333335,247.77500299999997,87.08748216666667,190.82850216666665,111.019804,211.648951,153.212642,240.097697,149.777706,211.14949,165.790878,194.997829,169.19978500000002,211.80218
helen/trainset/2416254762_1.jpg,1.645,468.0,332.5,220.26562649999997,536.9048998333333,222.19081533333338,409.61490499999996,266.476152,470.924242,364.62084,532.876952,359.686494,471.201926,412.616893,419.270021,425.574096,471.563942
lfpw/trainset/image_0525.png,0.73,216.5,157.0,108.16093833333332,241.82707733333336,110.17525716666665,183.98072416666665,124.22363,211.40647400000003,170.34106699999998,243.037266,166.656671,212.425085,188.675725,192.447051,190.139538,211.942279
helen/trainset/2868155068_1.jpg,2.625,721.5,746.5,601.3319181666667,863.4594666666667,644.3458088333333,640.5490856666667,722.931701,807.431087,830.7963639999999,910.556188,849.549932,810.298978,914.215024,701.921209,913.627634,826.979607
helen/trainset/1515641689_1.jpg,1.745,531.0,522.5,435.4472286666666,599.6427209999998,422.90620999999993,448.6912151666667,485.451342,506.885687,562.164929,581.9573379999999,548.524912,503.017587,606.0768780000001,434.470414,632.18352,491.467638
helen/trainset/185377791_1.jpg,2.775,442.5,667.0,551.3257686666667,521.6695883333333,577.9026158333335,304.0205773333333,609.703009,394.956944,730.616584,506.901951,722.777397,411.80143,795.930365,381.67768,795.087325,427.710507
lfpw/trainset/image_0449.png,1.035,156.5,254.5,194.40312566666668,232.3055668333333,187.9875971666667,158.88299383333333,227.518717,211.944914,289.59777,206.459444,286.538417,189.509097,292.383094,150.09447,307.243021,182.064011
helen/trainset/178046512_1.jpg,7.72,1162.0,1779.0,1349.9360568333332,1358.0924331666668,1458.7603483333332,784.8339944999999,1515.182601,966.845276,1953.751984,1354.853706,1948.05646,1096.73124,2160.830069,1033.063764,2125.48378,1176.26597
helen/trainset/2194332767_1.jpg,2.785,395.0,697.5,620.1938323333334,559.2357539999999,614.0320146666667,326.04850650000003,713.617321,456.2326900000001,798.373742,543.883366,799.760176,421.818047,870.971572,274.38606,911.024926,394.467268
lfpw/trainset/image_0737.png,1.03,265.0,300.5,244.19428366666668,283.861603,244.90048583333336,202.86618783333336,279.821171,225.529542,334.870492,280.013363,328.886285,230.878061,349.79924,214.988552,358.563503,233.594321
lfpw/trainset/image_0115.png,0.615,250.5,162.0,130.1790915,287.5946346666667,127.44199016666666,239.32837483333333,143.606303,268.123018,175.848322,280.948111,172.717051,262.8447,184.371279,242.745314,187.30792,262.691952
helen/trainset/233470867_1.jpg,11.11,1971.0,1880.5,1332.2336675,2784.5670735,1366.1074006666665,1866.1920284999999,1701.3403420000002,2596.919566,2349.1352100000004,2738.378301,2325.286089,2476.438572,2569.863165,2008.894783,2580.910539,2483.640625
